SYMBOL,PN,TYPE,DATE,VOL
NG,N/A,QMLE-Trade,22/06/2022,0.648931
NG,N/A,QMLE-Trade,23/06/2022,0.897327
NG,N/A,QMLE-Trade,24/06/2022,0.929863
NG,N/A,QMLE-Trade,27/06/2022,0.760358
NG,N/A,QMLE-Trade,28/06/2022,0.691268
NG,N/A,QMLE-Trade,29/06/2022,0.718339
NG,N/A,QMLE-Trade,30/06/2022,1.15213
NG,N/A,QMLE-Trade,01/07/2022,1.08109
NG,N/A,QMLE-Trade,05/07/2022,1.0911
NG,N/A,QMLE-Trade,06/07/2022,0.873551
NG,N/A,QMLE-Trade,07/07/2022,0.997152
NG,N/A,QMLE-Trade,08/07/2022,0.833983
NG,N/A,QMLE-Trade,11/07/2022,0.812026
NG,N/A,QMLE-Trade,12/07/2022,0.989525
NG,N/A,QMLE-Trade,13/07/2022,0.912481
NG,N/A,QMLE-Trade,14/07/2022,0.843919
NG,N/A,QMLE-Trade,15/07/2022,0.692313
NG,N/A,QMLE-Trade,18/07/2022,0.732057
NG,N/A,QMLE-Trade,19/07/2022,0.770623
NG,N/A,QMLE-Trade,20/07/2022,0.742813
NG,N/A,QMLE-Trade,21/07/2022,0.899695
NG,N/A,QMLE-Trade,22/07/2022,0.724487
NG,N/A,QMLE-Trade,25/07/2022,0.631036
NG,N/A,QMLE-Trade,26/07/2022,1.03633
NG,N/A,QMLE-Trade,27/07/2022,0.843063
NG,N/A,QMLE-Trade,28/07/2022,0.902982
NG,N/A,QMLE-Trade,29/07/2022,0.788047
NG,N/A,QMLE-Trade,01/08/2022,0.81015
NG,N/A,QMLE-Trade,02/08/2022,0.720614
NG,N/A,QMLE-Trade,03/08/2022,0.848908
NG,N/A,QMLE-Trade,04/08/2022,0.859629
NG,N/A,QMLE-Trade,08/08/2022,0.653549
NG,N/A,QMLE-Trade,09/08/2022,0.540687
NG,N/A,QMLE-Trade,10/08/2022,0.681635
NG,N/A,QMLE-Trade,11/08/2022,0.776621
NG,N/A,QMLE-Trade,12/08/2022,0.685871
NG,N/A,QMLE-Trade,15/08/2022,0.588114
NG,N/A,QMLE-Trade,16/08/2022,0.646889
NG,N/A,QMLE-Trade,17/08/2022,0.706512
NG,N/A,QMLE-Trade,18/08/2022,0.817524
NG,N/A,QMLE-Trade,19/08/2022,0.55487
NG,N/A,QMLE-Trade,22/08/2022,0.78132
NG,N/A,QMLE-Trade,23/08/2022,0.836936
NG,N/A,QMLE-Trade,24/08/2022,0.574821
NG,N/A,QMLE-Trade,25/08/2022,0.494847
NG,N/A,QMLE-Trade,26/08/2022,0.630982
NG,N/A,QMLE-Trade,29/08/2022,0.670484
NG,N/A,QMLE-Trade,30/08/2022,0.646663
